,_1,_2,_3,_4,_5,_6,_7,_8
0,1007,MA,42.3,-72.4,1,820204,25,015
1,1060,MA,42.33,-72.63,1,821904,25,015
2,1089,MA,42.12,-72.64,1,812404,25,013
3,1453,MA,42.52,-71.77,1,709100,25,027
4,1532,MA,42.32,-71.63,1,740102,25,027
5,1540,MA,42.12,-71.85,1,753100,25,027
6,1720,MA,42.49,-71.44,1,363103,25,017
7,1754,MA,42.43,-71.45,1,364102,25,017
8,1770,MA,42.23,-71.37,1,386100,25,017
9,1776,MA,42.39,-71.42,1,365100,25,017
10,1833,MA,42.72,-70.98,3,265102,25,009
11,1886,MA,42.59,-71.44,1,318300,25,017
12,1890,MA,42.45,-71.15,1,338300,25,017
13,1906,MA,42.47,-71.01,4,208300,25,009
14,2131,MA,42.28,-71.12,1,110403,25,025
15,2138,MA,42.38,-71.13,1,354200,25,017
16,2145,MA,42.39,-71.09,1,350200,25,017
17,2210,MA,42.35,-71.04,1,060600,25,025
18,2421,MA,42.44,-71.23,3,358400,25,017
19,2459,MA,42.31,-71.19,1,373900,25,017
20,2467,MA,42.32,-71.16,1,401200,25,021
21,2492,MA,42.28,-71.25,1,403400,25,021
22,2540,MA,41.57,-70.63,1,014900,25,001
23,2563,MA,41.72,-70.48,1,013600,25,001
24,2813,RI,41.4,-71.66,2,051101,44,009
25,2838,RI,41.97,-71.47,3,011500,44,007
26,2906,RI,41.84,-71.39,1,003400,44,007
27,3033,NH,42.75,-71.67,1,018000,33,011
28,3819,NH,42.93,-71.12,1,053000,33,015
29,5048,VT,43.57,-72.42,4,965700,50,027
30,5444,VT,44.6,-72.9,1,002900,50,007
31,6351,CT,41.58,-71.96,2,709100,09,011
32,6410,CT,41.51,-72.91,1,343102,09,009
33,6441,CT,41.46,-72.57,1,590100,09,007
34,6488,CT,41.49,-73.23,4,348125,09,009
35,6611,CT,41.26,-73.21,4,090700,09,001
36,6810,CT,41.38,-73.47,2,210600,09,001
37,7047,NJ,40.79,-74.02,1,015500,34,017
38,7076,NJ,40.64,-74.37,1,038601,34,039
39,7079,NJ,40.75,-74.26,2,019300,34,013
40,7110,NJ,40.82,-74.16,2,013800,34,013
41,7423,NJ,41.0,-74.1,1,027000,34,003
42,7666,NJ,40.89,-74.01,1,054500,34,003
43,7750,NJ,40.33,-73.99,1,804100,34,025
44,7920,NJ,40.68,-74.54,1,052603,34,035
45,8081,NJ,39.74,-74.97,2,609203,34,007
46,8205,NJ,39.49,-74.47,1,010501,34,001
