,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
0,1007,MA,42.3,-72.4,1,820204,25,015,78.8,14.6,0.9,0.7,1.2,3.9
1,1060,MA,42.33,-72.63,1,821904,25,015,69.8,2.9,1.4,9.4,7.9,8.5
2,1089,MA,42.12,-72.64,1,812404,25,013,85.2,11.4,0.0,0.4,0.0,3.0
3,1096,MA,42.4,-72.8,2,822606,25,015,79.9,6.2,0.4,2.4,1.9,9.2
4,1453,MA,42.52,-71.77,1,709100,25,027,84.0,7.4,1.5,0.0,1.4,5.7
5,1460,MA,42.54,-71.49,1,324101,25,017,83.0,4.2,4.1,2.0,0.0,6.7
6,1532,MA,42.32,-71.63,1,740102,25,027,81.3,3.8,3.2,1.4,0.4,10.0
7,1540,MA,42.12,-71.85,1,753100,25,027,91.6,3.9,0.8,0.7,1.8,1.2
8,1720,MA,42.49,-71.44,1,363103,25,017,84.4,1.4,3.0,3.1,1.0,7.1
9,1754,MA,42.43,-71.45,1,364102,25,017,84.6,5.6,5.9,2.9,0.0,1.0
10,1770,MA,42.23,-71.37,1,386100,25,017,75.2,3.9,9.4,1.9,0.5,9.0
11,1776,MA,42.39,-71.42,1,365100,25,017,87.4,1.7,3.1,1.1,0.0,6.7
12,1833,MA,42.72,-70.98,3,265102,25,009,85.8,7.8,0.7,0.5,0.5,4.8
13,1876,MA,42.61,-71.23,1,315200,25,017,86.2,5.8,3.2,0.3,0.0,4.5
14,1886,MA,42.59,-71.44,1,318300,25,017,89.2,2.7,0.7,0.4,0.9,6.1
15,1890,MA,42.45,-71.15,1,338300,25,017,68.5,13.2,10.1,1.6,1.4,5.2
16,1906,MA,42.47,-71.01,4,208300,25,009,85.3,6.6,5.0,0.5,0.0,2.6
17,1960,MA,42.53,-70.97,2,210300,25,009,85.1,6.0,6.6,1.4,0.4,0.5
18,2048,MA,42.02,-71.22,1,610100,25,005,77.9,6.1,9.3,2.9,1.7,2.1
19,2131,MA,42.28,-71.12,1,110403,25,025,56.9,10.5,25.9,0.0,3.0,3.7
20,2138,MA,42.38,-71.13,1,354200,25,017,41.2,6.1,20.3,10.9,7.8,13.6
