,ZIP,State,Lat,Lng,Size,Tract,State_code,County,health_insurance,private,public
0,1007,MA,42.3,-72.4,1,820204,25,015,98.8,91.8,16.1
1,1060,MA,42.33,-72.63,1,821904,25,015,97.1,73.6,30.2
2,1089,MA,42.12,-72.64,1,812404,25,013,99.4,76.1,40.3
3,1453,MA,42.52,-71.77,1,709100,25,027,97.2,77.3,32.6
4,1532,MA,42.32,-71.63,1,740102,25,027,99.8,90.3,26.7
5,1540,MA,42.12,-71.85,1,753100,25,027,97.6,75.9,38.9
6,1720,MA,42.49,-71.44,1,363103,25,017,99.2,87.5,21.7
7,1754,MA,42.43,-71.45,1,364102,25,017,98.3,82.9,25.0
8,1770,MA,42.23,-71.37,1,386100,25,017,99.7,94.3,16.3
9,1776,MA,42.39,-71.42,1,365100,25,017,99.6,96.4,13.7
10,1833,MA,42.72,-70.98,3,265102,25,009,99.8,88.7,22.5
11,1886,MA,42.59,-71.44,1,318300,25,017,98.7,92.1,16.2
12,1890,MA,42.45,-71.15,1,338300,25,017,99.8,92.8,21.8
13,1906,MA,42.47,-71.01,4,208300,25,009,95.2,73.2,38.6
14,2131,MA,42.28,-71.12,1,110403,25,025,96.4,76.4,31.1
15,2138,MA,42.38,-71.13,1,354200,25,017,99.4,93.8,21.3
16,2145,MA,42.39,-71.09,1,350200,25,017,95.7,75.6,30.3
17,2210,MA,42.35,-71.04,1,060600,25,025,100.0,93.7,11.5
18,2421,MA,42.44,-71.23,3,358400,25,017,98.3,85.5,26.9
19,2459,MA,42.31,-71.19,1,373900,25,017,98.1,88.3,31.8
20,2467,MA,42.32,-71.16,1,401200,25,021,95.3,89.7,18.7
21,2492,MA,42.28,-71.25,1,403400,25,021,98.6,81.6,31.7
22,2540,MA,41.57,-70.63,1,014900,25,001,98.5,77.3,56.7
23,2563,MA,41.72,-70.48,1,013600,25,001,98.6,81.8,26.4
24,2813,RI,41.4,-71.66,2,051101,44,009,96.4,80.1,31.7
25,2838,RI,41.97,-71.47,3,011500,44,007,97.4,73.2,36.0
26,2906,RI,41.84,-71.39,1,003400,44,007,98.7,90.6,21.0
27,3033,NH,42.75,-71.67,1,018000,33,011,98.7,94.1,14.7
28,3819,NH,42.93,-71.12,1,053000,33,015,93.2,84.3,18.6
29,5048,VT,43.57,-72.42,4,965700,50,027,93.9,67.3,40.6
30,5444,VT,44.6,-72.9,1,002900,50,007,96.7,83.3,26.3
31,6351,CT,41.58,-71.96,2,709100,09,011,96.9,80.0,31.8
32,6410,CT,41.51,-72.91,1,343102,09,009,93.9,79.0,27.7
33,6441,CT,41.46,-72.57,1,590100,09,007,96.9,86.1,25.2
34,6488,CT,41.49,-73.23,4,348125,09,009,99.3,82.7,54.8
35,6611,CT,41.26,-73.21,4,090700,09,001,96.6,80.5,29.8
36,6810,CT,41.38,-73.47,2,210600,09,001,59.0,39.5,24.4
37,7047,NJ,40.79,-74.02,1,015500,34,017,68.6,37.8,36.6
38,7076,NJ,40.64,-74.37,1,038601,34,039,96.2,85.5,22.0
39,7079,NJ,40.75,-74.26,2,019300,34,013,95.5,84.4,20.4
40,7110,NJ,40.82,-74.16,2,013800,34,013,96.3,86.9,23.4
41,7423,NJ,41.0,-74.1,1,027000,34,003,98.1,94.5,17.4
42,7666,NJ,40.89,-74.01,1,054500,34,003,95.8,87.6,15.2
43,7750,NJ,40.33,-73.99,1,804100,34,025,96.3,91.0,26.0
44,7920,NJ,40.68,-74.54,1,052603,34,035,98.9,83.9,24.2
45,8081,NJ,39.74,-74.97,2,609203,34,007,96.7,81.4,25.0
46,8205,NJ,39.49,-74.47,1,010501,34,001,92.2,80.2,37.9
47,8505,NJ,40.1,-74.7,1,701401,34,005,97.4,92.2,20.4
48,8510,NJ,40.18,-74.42,1,812501,34,025,99.4,92.5,16.7
49,8540,NJ,40.4,-74.7,2,054201,34,035,98.1,91.3,18.2
50,8742,NJ,40.08,-74.06,2,711100,34,029,94.8,86.2,23.1
51,8820,NJ,40.58,-74.37,1,001413,34,023,88.5,73.9,22.7
52,8822,NJ,40.5,-74.9,2,011302,34,019,94.8,88.5,17.1
53,8846,NJ,40.57,-74.5,1,000200,34,023,88.7,68.0,31.3
54,8904,NJ,40.5,-74.43,3,001100,34,023,96.4,88.3,15.9
55,10013,NY,40.72,-74.01,1,003900,36,061,96.5,85.0,20.0
56,10306,NY,40.57,-74.13,1,013800,36,085,99.8,76.7,39.5
57,10314,NY,40.6,-74.15,1,027301,36,085,95.5,72.0,35.6
58,10467,NY,40.88,-73.87,1,043500,36,005,95.8,52.7,56.4
59,10522,NY,41.01,-73.87,2,010500,36,119,97.0,87.9,21.2
60,10583,NY,40.99,-73.79,1,009900,36,119,98.4,91.9,14.7
61,10950,NY,41.3,-74.2,1,014202,36,071,97.5,88.2,20.7
62,10952,NY,41.12,-74.09,1,011602,36,087,96.9,70.6,41.6
63,11021,NY,40.79,-73.73,1,300700,36,059,93.0,71.5,40.0
64,11109,NY,40.744,-73.956,2,000700,36,081,94.8,88.1,11.7
65,11201,NY,40.7,-73.99,1,001300,36,047,80.5,70.7,19.9
66,11215,NY,40.67,-73.98,2,015500,36,047,96.7,87.5,17.5
67,11217,NY,40.68,-73.98,1,012901,36,047,93.7,81.8,20.1
68,11231,NY,40.68,-74.0,2,006500,36,047,95.0,87.3,13.7
69,11233,NY,40.68,-73.92,4,037900,36,047,86.0,59.9,35.0
70,11237,NY,40.7,-73.92,1,043100,36,047,73.3,40.0,39.6
71,11238,NY,40.68,-73.96,2,030500,36,047,93.6,71.6,27.4
72,11520,NY,40.64,-73.58,1,414502,36,059,97.0,82.7,29.3
73,11961,NY,40.89,-72.88,1,158710,36,103,96.3,74.6,33.3
74,11971,NY,41.06,-72.43,1,170201,36,103,94.4,80.5,40.1
75,12159,NY,42.65,-73.88,1,014501,36,001,99.3,92.2,26.7
76,12304,NY,42.78,-73.9,1,021800,36,093,95.9,77.3,39.2
77,12946,NY,44.2,-74.0,1,960598,36,031,94.1,78.8,32.4
78,13066,NY,43.04,-76.0,1,015000,36,067,96.8,83.9,28.2
79,13210,NY,43.03,-76.13,1,005500,36,067,93.5,60.3,40.6
80,13224,NY,43.03,-76.1,1,014700,36,067,98.6,89.3,27.0
81,13357,NY,42.97,-75.08,1,010100,36,043,92.4,68.0,39.6
82,13827,NY,42.1,-76.3,1,020600,36,107,95.7,64.5,46.9
83,13905,NY,42.2,-76.0,1,010200,36,007,95.2,79.0,37.8
84,14062,NY,42.4,-79.2,1,036100,36,013,94.7,66.6,41.9
85,14072,NY,43.01,-78.96,1,007304,36,029,99.5,89.9,31.5
86,14226,NY,42.98,-78.79,1,009200,36,029,98.6,82.6,33.9
87,14428,NY,43.1,-77.9,1,015000,36,055,98.1,83.5,34.0
88,14450,NY,43.1,-77.43,1,011703,36,055,97.9,90.5,20.3
89,14580,NY,43.22,-77.45,1,011205,36,055,98.6,91.3,19.3
