,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10 000,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10 000 to $14 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15 000 to $24 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25 000 to $34 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35 000 to $49 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50 000 to $74 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75 000 to $99 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100 000 to $149 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150 000 to $199 999,Percent Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200 000 or more
0,1007,MA,42.3,-72.4,1,820204,25,015,2.6,3.1,1.2,7.6,4.5,13.6,14.7,29.2,15.6,8.0
1,1060,MA,42.33,-72.63,1,821904,25,015,3.1,7.7,7.5,8.6,12.5,16.9,14.1,17.3,4.8,7.4
2,1089,MA,42.12,-72.64,1,812404,25,013,3.3,3.5,9.4,9.4,12.8,12.9,15.2,23.8,3.7,5.9
3,1096,MA,42.4,-72.8,2,822606,25,015,4.2,2.6,6.4,7.9,10.5,15.9,17.9,20.8,6.9,6.9
4,1453,MA,42.52,-71.77,1,709100,25,027,4.5,3.3,4.6,9.0,10.8,18.2,13.3,17.6,12.2,6.4
5,1460,MA,42.54,-71.49,1,324101,25,017,1.8,3.8,6.3,3.6,6.7,10.7,8.4,24.8,16.6,17.3
6,1532,MA,42.32,-71.63,1,740102,25,027,2.0,0.6,2.4,6.4,9.6,14.8,11.9,23.5,10.5,18.2
7,1540,MA,42.12,-71.85,1,753100,25,027,4.5,5.5,7.4,9.9,5.7,14.5,18.3,21.1,7.7,5.2
8,1720,MA,42.49,-71.44,1,363103,25,017,0.0,2.6,2.9,8.2,5.1,10.5,7.4,23.4,10.8,29.1
9,1754,MA,42.43,-71.45,1,364102,25,017,1.6,1.4,10.1,4.2,10.6,13.6,12.4,19.8,11.5,14.8
