,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans
0,1007,MA,42.3,-72.4,1,820204,25,015,6.3
1,1060,MA,42.33,-72.63,1,821904,25,015,1.6
2,1089,MA,42.12,-72.64,1,812404,25,013,8.5
3,1096,MA,42.4,-72.8,2,822606,25,015,7.2
4,1453,MA,42.52,-71.77,1,709100,25,027,9.8
5,1460,MA,42.54,-71.49,1,324101,25,017,8.4
6,1532,MA,42.32,-71.63,1,740102,25,027,7.9
7,1540,MA,42.12,-71.85,1,753100,25,027,8.1
8,1720,MA,42.49,-71.44,1,363103,25,017,4.2
9,1754,MA,42.43,-71.45,1,364102,25,017,4.7
10,1770,MA,42.23,-71.37,1,386100,25,017,4.0
11,1776,MA,42.39,-71.42,1,365100,25,017,2.8
12,1833,MA,42.72,-70.98,3,265102,25,009,7.2
13,1876,MA,42.61,-71.23,1,315200,25,017,9.9
14,1886,MA,42.59,-71.44,1,318300,25,017,6.2
15,1890,MA,42.45,-71.15,1,338300,25,017,5.8
16,1906,MA,42.47,-71.01,4,208300,25,009,8.2
17,1960,MA,42.53,-70.97,2,210300,25,009,8.3
18,2048,MA,42.02,-71.22,1,610100,25,005,7.6
19,2131,MA,42.28,-71.12,1,110403,25,025,4.4
20,2138,MA,42.38,-71.13,1,354200,25,017,3.9
21,2145,MA,42.39,-71.09,1,350200,25,017,
22,2176,MA,42.46,-71.06,1,336200,25,017,8.7
23,2210,MA,42.35,-71.04,1,060600,25,025,1.7
24,2421,MA,42.44,-71.23,3,358400,25,017,5.0
25,2445,MA,42.32,-71.13,4,401100,25,021,3.0
26,2459,MA,42.31,-71.19,1,373900,25,017,4.4
27,2467,MA,42.32,-71.16,1,401200,25,021,4.3
28,2492,MA,42.28,-71.25,1,403400,25,021,5.2
29,2540,MA,41.57,-70.63,1,014900,25,001,11.3
30,2563,MA,41.72,-70.48,1,013600,25,001,9.9
31,2717,MA,41.75,-70.97,1,617102,25,005,8.8
32,2813,RI,41.4,-71.66,2,051101,44,009,8.5
33,2838,RI,41.97,-71.47,3,011500,44,007,10.2
34,2906,RI,41.84,-71.39,1,003400,44,007,5.1
35,3033,NH,42.75,-71.67,1,018000,33,011,10.6
36,3256,NH,43.6,-71.6,1,965300,33,001,9.5
37,3819,NH,42.93,-71.12,1,053000,33,015,10.1
38,4949,ME,44.37,-69.33,2,045000,23,027,11.0
39,5048,VT,43.57,-72.42,4,965700,50,027,7.4
40,5444,VT,44.6,-72.9,1,002900,50,007,8.2
41,6351,CT,41.58,-71.96,2,709100,09,011,12.3
42,6410,CT,41.51,-72.91,1,343102,09,009,5.3
43,6441,CT,41.46,-72.57,1,590100,09,007,8.7
44,6457,CT,41.5,-72.7,2,580100,09,007,7.2
45,6488,CT,41.49,-73.23,4,348125,09,009,15.0
46,6611,CT,41.26,-73.21,4,090700,09,001,7.1
47,6810,CT,41.38,-73.47,2,210600,09,001,5.8
48,6854,CT,41.08,-73.42,1,044400,09,001,5.5
49,6878,CT,41.03,-73.58,1,011100,09,001,3.5
50,7040,NJ,40.73,-74.27,2,019500,34,013,1.8
51,7047,NJ,40.79,-74.02,1,015500,34,017,1.4
52,7059,NJ,40.63,-74.51,1,052204,34,035,3.4
53,7076,NJ,40.64,-74.37,1,038601,34,039,4.7
54,7079,NJ,40.75,-74.26,2,019300,34,013,2.9
55,7110,NJ,40.82,-74.16,2,013800,34,013,2.5
56,7423,NJ,41.0,-74.1,1,027000,34,003,5.1
57,7666,NJ,40.89,-74.01,1,054500,34,003,2.9
58,7747,NJ,40.41,-74.23,1,803000,34,025,5.1
59,7750,NJ,40.33,-73.99,1,804100,34,025,8.8
60,7821,NJ,41.0,-74.7,3,374400,34,037,6.3
61,7920,NJ,40.68,-74.54,1,052603,34,035,3.2
62,8012,NJ,39.78,-75.05,1,608210,34,007,6.6
63,8081,NJ,39.74,-74.97,2,609203,34,007,8.1
64,8205,NJ,39.49,-74.47,1,010501,34,001,8.6
65,8505,NJ,40.1,-74.7,1,701401,34,005,9.6
66,8510,NJ,40.18,-74.42,1,812501,34,025,3.0
67,8540,NJ,40.4,-74.7,2,054201,34,035,3.7
68,8742,NJ,40.08,-74.06,2,711100,34,029,8.2
69,8807,NJ,40.59,-74.62,1,050703,34,035,3.3
70,8817,NJ,40.52,-74.4,1,001502,34,023,4.0
71,8820,NJ,40.58,-74.37,1,001413,34,023,1.2
72,8822,NJ,40.5,-74.9,2,011302,34,019,4.3
73,8846,NJ,40.57,-74.5,1,000200,34,023,2.6
74,8904,NJ,40.5,-74.43,3,001100,34,023,2.3
75,10013,NY,40.72,-74.01,1,003900,36,061,2.5
