,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van drove alone,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car truck or van carpooled,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,Percent Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home
0,19426,PA,40.18,-75.43,1,210700,42,091,80.2,,0.9,0.0,1.0,11.3
1,31088,GA,32.58,-83.65,1,021105,13,153,,17.4,0.0,1.3,0.4,0.4
2,43055,OH,40.1,-82.4,1,751900,39,089,79.6,11.4,0.0,3.4,3.7,
3,45230,OH,39.07,-84.38,3,025002,39,061,,4.7,0.0,,0.0,9.9
4,57719,SD,44.2,-103.0,1,020500,46,093,63.9,14.6,0.4,2.4,0.6,18.1
5,60189,IL,41.83,-88.12,1,842601,17,043,73.6,5.1,7.6,0.5,0.7,12.4
6,60192,IL,42.08,-88.18,1,804201,17,031,76.3,6.2,3.1,0.3,0.4,13.7
7,60443,IL,41.51,-87.74,1,830004,17,031,74.3,10.2,8.9,0.8,0.0,5.8
8,60482,IL,41.69,-87.79,1,823101,17,031,85.4,6.4,3.2,0.5,1.1,3.4
9,60634,IL,41.95,-87.81,1,170400,17,031,77.4,11.8,8.7,1.4,0.5,0.3
10,63376,MO,38.8,-90.63,1,312400,29,183,91.5,3.4,2.7,0.0,0.0,
11,63701,MO,37.4,-89.6,1,880600,29,031,81.5,8.5,0.7,2.1,1.2,6.0
12,64081,MO,38.91,-94.39,1,018000,29,095,87.0,9.0,0.6,1.2,0.4,
13,64114,MO,38.96,-94.6,1,009900,29,095,75.5,4.2,6.6,4.7,2.1,6.9
14,64116,MO,39.15,-94.57,1,022100,29,047,75.0,11.6,2.1,11.4,0.0,0.0
15,65757,MO,37.3,-93.1,1,004600,29,077,87.5,8.3,0.0,1.0,0.8,2.5
16,66049,KS,38.98,-95.36,2,001400,20,045,85.3,9.2,0.0,1.0,0.4,4.1
17,67060,KS,37.54,-97.37,1,009700,20,173,92.3,4.5,,0.0,0.7,2.5
18,67401,KS,38.9,-97.6,1,001100,20,169,87.7,5.7,0.0,0.1,0.8,5.7
19,70130,LA,29.94,-90.1,1,010200,22,071,59.9,5.7,9.8,7.4,13.7,3.5
