,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Female
0,1985,MA,42.79,-70.97,1,263100,25,009,50.0,50.0
1,10960,NY,41.08,-73.93,1,013200,36,087,52.3,47.7
2,19426,PA,40.18,-75.43,1,210700,42,091,51.0,49.0
3,21601,MD,38.8,-76.0,1,960100,24,041,48.0,52.0
4,22980,VA,38.1,-78.9,1,070600,51,015,47.4,52.6
5,31088,GA,32.58,-83.65,1,021105,13,153,48.4,51.6
6,42728,KY,37.1,-85.3,1,970402,21,001,50.6,49.4
7,45230,OH,39.07,-84.38,3,025002,39,061,51.0,49.0
8,57719,SD,44.2,-103.0,1,020500,46,093,57.8,42.2
9,60189,IL,41.83,-88.12,1,842601,17,043,50.0,50.0
10,60192,IL,42.08,-88.18,1,804201,17,031,46.5,53.5
11,60482,IL,41.69,-87.79,1,823101,17,031,47.7,52.3
12,60634,IL,41.95,-87.81,1,170400,17,031,51.0,49.0
13,63376,MO,38.8,-90.63,1,312400,29,183,40.3,59.7
14,63701,MO,37.4,-89.6,1,880600,29,031,52.2,47.8
15,64081,MO,38.91,-94.39,1,018000,29,095,50.5,49.5
16,64086,MO,38.9,-94.3,1,013901,29,095,50.7,49.3
17,64114,MO,38.96,-94.6,1,009900,29,095,47.9,52.1
18,64139,MO,38.97,-94.41,1,014300,29,095,48.6,51.4
19,65757,MO,37.3,-93.1,1,004600,29,077,51.4,48.6
20,66226,KS,39.03,-94.85,1,052603,20,091,48.7,51.3
21,67060,KS,37.54,-97.37,1,009700,20,173,49.5,50.5
22,67401,KS,38.9,-97.6,1,001100,20,169,53.4,46.6
23,72701,AR,36.0,-94.1,1,011102,05,143,43.9,56.1
24,73034,OK,35.72,-97.43,1,108106,40,109,51.8,48.2
25,75182,TX,32.79,-96.56,1,018104,48,113,55.1,44.9
26,75862,TX,31.0,-95.4,1,950300,48,455,44.2,55.8
27,76013,TX,32.72,-97.16,2,111506,48,439,47.9,52.1
28,77084,TX,29.83,-95.66,1,541700,48,201,45.7,54.3
29,78070,TX,29.9,-98.4,1,310605,48,091,52.6,47.4
30,78239,TX,29.52,-98.36,1,121507,48,029,47.9,52.1
31,78247,TX,29.57,-98.41,1,121112,48,029,46.9,53.1
32,78516,TX,26.18,-98.12,1,022003,48,215,51.1,48.9
33,78723,TX,30.3,-97.69,1,000306,48,453,47.0,53.0
34,78746,TX,30.3,-97.81,3,001918,48,453,53.6,46.4
35,78748,TX,30.16,-97.82,2,002421,48,453,48.3,51.7
36,78759,TX,30.4,-97.75,1,001722,48,453,54.1,45.9
37,78881,TX,29.3,-99.6,1,950200,48,463,47.4,52.6
38,79087,TX,36.3,-102.9,1,950100,48,111,59.2,40.8
39,80002,CO,39.79,-105.1,3,010402,08,059,42.4,57.6
40,80003,CO,39.83,-105.06,4,010209,08,059,44.1,55.9
41,80005,CO,39.85,-105.12,3,009815,08,059,50.3,49.7
42,80007,CO,39.87,-105.22,3,060500,08,059,52.3,47.7
43,80012,CO,39.7,-104.84,2,080800,08,005,50.2,49.8
44,80013,CO,39.66,-104.77,1,083400,08,005,51.6,48.4
45,80016,CO,39.6,-104.74,3,085200,08,005,49.2,50.8
46,80021,CO,39.9,-105.12,2,060500,08,059,52.3,47.7
47,80022,CO,39.9,-104.8,2,008538,08,001,50.1,49.9
48,80026,CO,40.02,-105.1,8,012800,08,013,51.2,48.8
49,80027,CO,39.98,-105.13,5,013005,08,013,47.1,52.9
50,80031,CO,39.88,-105.04,2,009410,08,001,47.5,52.5
51,80033,CO,39.77,-105.1,3,010502,08,059,44.9,55.1
52,80104,CO,39.3,-104.8,7,014506,08,035,46.5,53.5
53,80107,CO,39.4,-104.5,2,961207,08,039,50.1,49.9
54,80108,CO,39.45,-104.85,6,014012,08,035,51.9,48.1
55,80109,CO,39.3,-104.9,4,014403,08,035,46.2,53.8
56,80111,CO,39.63,-104.87,2,006854,08,005,49.8,50.2
57,80112,CO,39.56,-104.87,1,014001,08,035,51.9,48.1
58,80118,CO,39.2,-104.9,2,014403,08,035,46.2,53.8
59,80120,CO,39.6,-105.01,7,006502,08,005,44.5,55.5
60,80121,CO,39.61,-104.96,2,005636,08,005,45.4,54.6
61,80122,CO,39.58,-104.96,9,005630,08,005,50.9,49.1
62,80123,CO,39.61,-105.06,7,012050,08,059,48.3,51.7
63,80124,CO,39.54,-104.88,7,014116,08,035,49.9,50.1
64,80125,CA,39.5,-105.1,1,012036,08,059,46.6,53.4
65,80125,CO,39.5,-105.1,4,012036,08,059,46.6,53.4
66,80127,CO,39.5,-105.1,8,012036,08,059,46.6,53.4
67,80128,CA,39.57,-105.08,1,012055,08,059,52.8,47.2
