,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage
0,19426,PA,40.18,-75.43,1,210700,42,091,98.6,92.5,17.0
1,21601,MD,38.8,-76.0,1,960100,24,041,97.1,76.1,36.5
2,31088,GA,32.58,-83.65,1,021105,13,153,86.6,70.7,23.1
3,42728,KY,37.1,-85.3,1,970402,21,001,87.8,63.3,34.9
4,43055,OH,40.1,-82.4,1,751900,39,089,88.6,58.4,39.9
5,45230,OH,39.07,-84.38,3,025002,39,061,96.1,86.1,20.5
6,53714,WI,43.1,-89.31,1,003002,55,025,86.3,59.3,37.4
7,57719,SD,44.2,-103.0,1,020500,46,093,92.3,81.9,19.4
8,60189,IL,41.83,-88.12,1,842601,17,043,98.7,90.6,18.6
9,60192,IL,42.08,-88.18,1,804201,17,031,97.9,85.8,24.0
10,60482,IL,41.69,-87.79,1,823101,17,031,84.6,57.4,36.4
11,60634,IL,41.95,-87.81,1,170400,17,031,89.8,62.7,37.9
12,63376,MO,38.8,-90.63,1,312400,29,183,89.1,70.2,34.1
13,63701,MO,37.4,-89.6,1,880600,29,031,94.6,78.3,28.5
14,64081,MO,38.91,-94.39,1,018000,29,095,87.3,67.1,31.3
15,64086,MO,38.9,-94.3,1,013901,29,095,93.2,85.1,20.8
16,64114,MO,38.96,-94.6,1,009900,29,095,87.8,73.7,23.4
17,64116,MO,39.15,-94.57,1,022100,29,047,80.6,67.2,24.7
18,64139,MO,38.97,-94.41,1,014300,29,095,94.3,72.4,37.7
19,65757,MO,37.3,-93.1,1,004600,29,077,90.5,71.0,28.4
20,66049,KS,38.98,-95.36,2,001400,20,045,92.1,83.8,25.2
21,66226,KS,39.03,-94.85,1,052603,20,091,97.6,94.6,6.6
22,67060,KS,37.54,-97.37,1,009700,20,173,91.4,76.5,24.5
23,70130,LA,29.94,-90.1,1,010200,22,071,89.0,,34.3
24,71105,LA,32.45,-93.71,1,023000,22,017,95.5,81.4,35.1
25,72701,AR,36.0,-94.1,1,011102,05,143,86.2,65.7,
26,73034,OK,35.72,-97.43,1,108106,40,109,98.5,93.4,18.9
27,74872,OK,34.8,-97.0,2,681100,40,049,81.5,54.5,42.5
28,75182,TX,32.79,-96.56,1,018104,48,113,92.8,83.2,19.5
29,75862,TX,31.0,-95.4,1,950300,48,455,88.2,68.1,38.2
30,76013,TX,32.72,-97.16,2,111506,48,439,84.0,63.5,33.7
31,76433,TX,32.3,-98.0,1,950100,48,143,82.8,68.0,28.6
32,77084,TX,29.83,-95.66,1,541700,48,201,84.4,73.1,16.7
33,77584,TX,29.54,-95.35,2,660702,48,039,92.6,84.1,14.6
34,78070,TX,29.9,-98.4,1,310605,48,091,77.1,56.9,36.3
35,78239,TX,29.52,-98.36,1,121507,48,029,80.5,53.4,46.8
36,78247,TX,29.57,-98.41,1,121112,48,029,83.2,70.0,26.7
37,78516,TX,26.18,-98.12,1,022003,48,215,71.6,31.6,49.4
38,78704,TX,30.24,-97.75,2,002308,48,453,78.9,59.7,23.6
39,78748,TX,30.16,-97.82,2,002421,48,453,80.9,70.1,15.8
40,78759,TX,30.4,-97.75,1,001722,48,453,93.2,86.3,15.3
41,80002,CO,39.79,-105.1,3,010402,08,059,89.4,62.7,39.1
42,80003,CO,39.83,-105.06,4,010209,08,059,96.4,72.3,36.4
43,80004,CO,39.81,-105.12,8,010307,08,059,94.6,68.9,34.6
44,80012,CO,39.7,-104.84,2,080800,08,005,80.7,42.8,42.6
45,80013,CO,39.66,-104.77,1,083400,08,005,92.5,77.1,21.3
46,80015,CO,39.62,-104.78,4,085500,08,005,,88.3,
47,80016,CO,39.6,-104.74,3,085200,08,005,94.8,85.0,18.4
48,80020,CO,39.92,-105.08,6,030000,08,014,91.9,66.5,31.1
49,80021,CO,39.9,-105.12,2,060500,08,059,98.0,89.6,17.8
50,80026,CO,40.02,-105.1,8,012800,08,013,98.0,87.9,15.9
51,80033,CO,39.77,-105.1,3,010502,08,059,92.5,71.8,31.5
52,80107,CO,39.4,-104.5,2,961207,08,039,96.2,81.5,23.5
53,80108,CO,39.45,-104.85,6,014012,08,035,99.2,88.1,20.1
54,80109,CO,39.3,-104.9,4,014403,08,035,96.5,84.2,26.2
