,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
0,1985,MA,42.79,-70.97,1,263100,25,009,98.4,,0.0,0.0,0.0,0.0,,0.9,0.0,0.1,0.0,0.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1,10960,NY,41.08,-73.93,1,013200,36,087,71.0,15.9,0.8,0.0,0.8,0.0,0.0,5.1,1.3,2.3,0.5,0.0,0.6,0.3,0.2,0.3,0.0,0.0,0.0,0.3
2,19426,PA,40.18,-75.43,1,210700,42,091,79.5,5.0,0.0,0.0,0.0,0.0,0.0,12.9,3.4,5.4,1.8,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21601,MD,38.8,-76.0,1,960100,24,041,86.5,8.8,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,22980,VA,38.1,-78.9,1,070600,51,015,89.8,5.7,0.4,0.1,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,31088,GA,32.58,-83.65,1,021105,13,153,56.0,35.3,1.0,1.0,0.0,0.0,,1.9,1.5,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,42728,KY,37.1,-85.3,1,970402,21,001,95.6,2.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,45230,OH,39.07,-84.38,3,025002,39,061,95.2,2.0,0.4,0.0,0.0,0.0,0.0,1.7,0.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,57719,SD,44.2,-103.0,1,020500,46,093,85.8,3.5,2.4,0.0,0.0,0.0,1.5,3.9,0.0,0.0,1.6,0.5,0.5,1.1,0.2,0.0,0.0,0.0,0.0,0.0
9,60189,IL,41.83,-88.12,1,842601,17,043,90.6,1.3,0.0,0.0,0.0,0.0,0.0,5.7,1.7,1.6,0.3,0.2,0.4,0.0,1.6,0.0,0.0,0.0,0.0,0.0
